fan_state,window_start,window_end,timestamp_start,timestamp_end,timestamp_mean,accel_x_g_std,accel_x_g_range,accel_x_g_rms,gyro_y_dps_std,gyro_y_dps_range,gyro_y_dps_rms,collection_id
LOW,2440,2540,1770488185.9435,1770488192.4552,1770488189.202422,0.06471519354062073,0.2827,0.30188313053233035,1.799984941603679,7.0,1.8705413654875425,col_20260207_191320_5hz
LOW,2460,2560,1770488187.2638,1770488192.7223,1770488190.4287977,0.06464316572538817,0.3193,0.30284457581406343,1.6667797544966763,7.0,1.7308313031604203,col_20260207_191320_5hz
LOW,2480,2580,1770488188.5823,1770488193.8612,1770488191.4971561,0.0573030395005361,0.26439999999999997,0.3109338965117827,1.5622573923652914,6.99,1.6394682064620834,col_20260207_191320_5hz
LOW,2500,2600,1770488189.873,1770488195.1824,1770488192.5655377,0.05876861492327346,0.27369999999999994,0.30406337990622945,1.6925550242163472,7.03,1.7841460142039944,col_20260207_191320_5hz
LOW,2520,2620,1770488191.2063,1770488196.4804,1770488193.6403909,0.05932644267103836,0.27369999999999994,0.3028477293954835,1.5901799395037028,7.03,1.680139875129449,col_20260207_191320_5hz
LOW,2540,2640,1770488192.5219,1770488197.8137,1770488194.7112012,0.060228721088862576,0.27369999999999994,0.3047763468512607,1.4809871673988266,6.84,1.5923036770666579,col_20260207_191320_5hz
LOW,2560,2660,1770488192.7223,1770488199.1288,1770488195.8705862,0.05926426473854206,0.2483,0.31030689180229304,1.4642115420935595,6.84,1.598613774493389,col_20260207_191320_5hz
LOW,2580,2680,1770488193.9279,1770488200.4676,1770488197.1899,0.06077417605364963,0.2483,0.3082455490351807,1.3922962148910698,6.84,1.5300584956138115,col_20260207_191320_5hz
LOW,2600,2700,1770488195.249,1770488201.7561,1770488198.5092149,0.06690176836975238,0.2861,0.3061815273657116,1.2911196691244387,6.29,1.4871563468579891,col_20260207_191320_5hz
LOW,2620,2720,1770488196.547,1770488203.0845,1770488199.824266,0.06978902489646921,0.2861,0.3067425682881331,1.377735097905254,5.59,1.575388840889766,col_20260207_191320_5hz
LOW,2640,2740,1770488197.8804,1770488204.4178,1770488201.1450925,0.06854005377149919,0.25780000000000003,0.30107830692363075,1.4980017890510011,5.6,1.6447863083087724,col_20260207_191320_5hz
LOW,2660,2760,1770488199.1955,1770488205.7344,1770488202.466144,0.06865357881421769,0.2744,0.30127261674436995,1.5262791979189128,5.6,1.6808584116456688,col_20260207_191320_5hz
LOW,2680,2780,1770488200.5343,1770488207.0593,1770488203.785733,0.06581288180136166,0.2744,0.3005121370261108,1.647461911547578,7.21,1.7730795244432775,col_20260207_191320_5hz
LOW,2700,2800,1770488201.8228,1770488208.3554,1770488205.1045318,0.05900864889149725,0.2417,0.30852949972409444,1.6726307990707332,7.21,1.775677053971245,col_20260207_191320_5hz
LOW,2720,2820,1770488203.1512,1770488209.6728,1770488206.424275,0.056283502591789714,0.2427,0.30813985558508983,1.678476499686546,7.37,1.8069620914673334,col_20260207_191320_5hz
LOW,2740,2840,1770488204.4845,1770488211.0062,1770488207.7419422,0.05754033381898301,0.25170000000000003,0.31015618968513264,1.6109486149471064,7.37,1.7805409290437553,col_20260207_191320_5hz
LOW,2760,2860,1770488205.801,1770488212.3261,1770488209.060157,0.05814903317338991,0.25170000000000003,0.3100722562565054,1.6412123689516844,7.37,1.813459676971065,col_20260207_191320_5hz
LOW,2780,2880,1770488207.126,1770488213.6646,1770488210.379995,0.06033680100900279,0.25170000000000003,0.3106537915429329,1.5362517078916462,7.1899999999999995,1.707932375710467,col_20260207_191320_5hz
LOW,2800,2900,1770488208.422,1770488214.9599,1770488211.701002,0.06496517894226106,0.2641,0.3047206847261931,1.5603894257524304,6.74,1.739060665991845,col_20260207_191320_5hz
LOW,2820,2920,1770488209.7395,1770488216.2745,1770488213.0218742,0.06578871863017245,0.2641,0.30258943917460174,1.6811462607399748,7.67,1.7937399477070248,col_20260207_191320_5hz
