id,timestamp,temperature,vibration,accel_x_g,accel_y_g,accel_z_g,gyro_x_dps,gyro_y_dps,gyro_z_dps,sample_rate,fan_state,collection_id,timestamp_iso,sample_rate_configured_hz,sample_rate_real_hz,vibration_dps,accel_mag_g
184,1770488028.731,30.1,16.1194,0.3481,0.1636,-1.0503,2.11,-0.15,-15.98,15.0,LOW,col_20260207_191320_5hz,2026-02-07T18:13:48.730999Z,15.0,13.34,16.1194,1.1185118059278587
185,1770488028.7976,30.2,12.8587,0.2883,0.1489,-1.0874,3.33,-0.01,-12.42,15.0,LOW,col_20260207_191320_5hz,2026-02-07T18:13:48.797600Z,15.0,13.34,12.8587,1.134780533847845
186,1770488028.8643,30.1,9.8226,0.1562,0.2107,-1.0447,8.97,0.81,-3.92,15.0,LOW,col_20260207_191320_5hz,2026-02-07T18:13:48.864300Z,15.0,13.34,9.8226,1.0771216365852094
187,1770488028.931,30.2,2.47524,0.2205,0.1655,-1.0952,1.36,-0.34,2.04,15.0,LOW,col_20260207_191320_5hz,2026-02-07T18:13:48.930999Z,15.0,13.34,2.47524,1.1293686466340387
188,1770488028.9976,30.2,7.81216,0.2227,0.1321,-1.104,-5.87,-1.69,4.87,15.0,LOW,col_20260207_191320_5hz,2026-02-07T18:13:48.997600Z,15.0,13.34,7.81216,1.1339584207544826
189,1770488029.0643,30.2,5.22829,0.2461,0.0593,-1.0706,-2.69,0.75,4.42,15.0,LOW,col_20260207_191320_5hz,2026-02-07T18:13:49.064300Z,15.0,13.34,5.22829,1.1001209297163652
190,1770488029.131,30.2,5.02973,0.239,0.032,-1.1094,-0.21,3.3,3.79,15.0,LOW,col_20260207_191320_5hz,2026-02-07T18:13:49.131000Z,15.0,13.34,5.02973,1.135303201792367
191,1770488029.1976,30.1,9.55363,0.2405,-0.0032,-1.0986,-9.19,0.06,2.61,15.0,LOW,col_20260207_191320_5hz,2026-02-07T18:13:49.197599Z,15.0,13.34,9.55363,1.1246210250568855
192,1770488029.2643,30.2,5.36166,0.2974,0.0281,-1.0771,-4.83,1.24,-1.97,15.0,LOW,col_20260207_191320_5hz,2026-02-07T18:13:49.264300Z,15.0,13.34,5.36166,1.1177570308434654
193,1770488029.331,30.1,6.25716,0.3545,0.0398,-1.0852,1.04,2.41,-5.68,15.0,LOW,col_20260207_191320_5hz,2026-02-07T18:13:49.331000Z,15.0,13.34,6.25716,1.1423280308212698
194,1770488029.3976,30.1,8.70732,0.3547,0.0984,-1.0862,-5.33,0.46,-6.87,15.0,LOW,col_20260207_191320_5hz,2026-02-07T18:13:49.397599Z,15.0,13.34,8.70732,1.146876231334489
195,1770488029.4643,30.0,10.6858,0.3735,0.0579,-1.0759,-2.18,0.15,-10.46,15.0,LOW,col_20260207_191320_5hz,2026-02-07T18:13:49.464299Z,15.0,13.34,10.6858,1.1403576061920226
196,1770488029.531,30.2,9.38754,0.3521,0.1699,-1.0305,2.63,-0.17,-9.01,15.0,LOW,col_20260207_191320_5hz,2026-02-07T18:13:49.530999Z,15.0,13.34,9.38754,1.1021663531427548
197,1770488029.5976,30.1,8.05427,0.3096,0.1572,-1.0662,2.08,-1.25,-7.68,15.0,LOW,col_20260207_191320_5hz,2026-02-07T18:13:49.597599Z,15.0,13.34,8.05427,1.1213146034900285
198,1770488029.6643,30.1,6.26573,0.229,0.2302,-1.0583,3.4,-0.37,-5.25,15.0,LOW,col_20260207_191320_5hz,2026-02-07T18:13:49.664299Z,15.0,13.34,6.26573,1.1069922899460503
199,1770488029.731,30.1,5.04482,0.178,0.2102,-1.0549,4.85,-0.46,-1.31,15.0,LOW,col_20260207_191320_5hz,2026-02-07T18:13:49.730999Z,15.0,13.34,5.04482,1.090266962720599
200,1770488029.7976,30.1,3.56759,0.2107,0.177,-1.0884,2.12,-0.53,2.82,15.0,LOW,col_20260207_191320_5hz,2026-02-07T18:13:49.797600Z,15.0,13.34,3.56759,1.1226477853717078
201,1770488029.8254,30.1,5.80994,0.2532,0.0879,-1.1064,-4.47,2.01,3.12,15.0,LOW,col_20260207_191320_5hz,2026-02-07T18:13:49.825400Z,15.0,13.34,5.80994,1.1384013395986496
202,1770488029.892,30.1,7.08563,0.1953,0.0557,-1.1223,-4.0,1.31,5.7,15.0,LOW,col_20260207_191320_5hz,2026-02-07T18:13:49.891999Z,15.0,13.34,7.08563,1.1405270141474073
203,1770488029.9587,30.2,7.76168,0.2175,0.0381,-1.1216,-4.56,2.55,5.74,15.0,LOW,col_20260207_191320_5hz,2026-02-07T18:13:49.958699Z,15.0,13.34,7.76168,1.1431292227915442
204,1770488030.0254,30.1,5.11055,0.262,0.0095,-1.1233,-3.25,2.36,3.16,15.0,LOW,col_20260207_191320_5hz,2026-02-07T18:13:50.025399Z,15.0,13.34,5.11055,1.1534891156833689
205,1770488030.092,30.2,4.71403,0.301,0.0266,-1.1052,-2.86,3.56,1.17,15.0,LOW,col_20260207_191320_5hz,2026-02-07T18:13:50.092000Z,15.0,13.34,4.71403,1.1457641991265042
206,1770488030.1587,30.1,5.26113,0.3772,0.0591,-1.0974,-4.51,2.63,0.65,15.0,LOW,col_20260207_191320_5hz,2026-02-07T18:13:50.158699Z,15.0,13.34,5.26113,1.1619205695743577
207,1770488030.2254,30.1,5.17129,0.3374,0.1003,-1.075,-4.93,0.73,-1.38,15.0,LOW,col_20260207_191320_5hz,2026-02-07T18:13:50.225399Z,15.0,13.34,5.17129,1.1311603997665405
208,1770488030.292,30.1,4.54582,0.3992,0.1074,-1.0701,-0.84,1.1,-4.33,15.0,LOW,col_20260207_191320_5hz,2026-02-07T18:13:50.292000Z,15.0,13.34,4.54582,1.1471745333644747
209,1770488030.3587,30.1,3.98525,0.3906,0.1882,-1.0173,1.05,-0.89,-3.74,15.0,LOW,col_20260207_191320_5hz,2026-02-07T18:13:50.358700Z,15.0,13.34,3.98525,1.1058421632403064
210,1770488030.4254,30.1,4.11127,0.3281,0.1526,-1.0327,2.62,-0.34,-3.15,15.0,LOW,col_20260207_191320_5hz,2026-02-07T18:13:50.425400Z,15.0,13.34,4.11127,1.0942603255167391
211,1770488030.492,30.1,2.38,0.2795,0.2498,-1.0439,0.6,-2.3,0.12,15.0,LOW,col_20260207_191320_5hz,2026-02-07T18:13:50.492000Z,15.0,13.34,2.38,1.1091652266456968
212,1770488030.5587,30.1,2.32607,0.25,0.2014,-1.0762,1.21,-1.23,1.56,15.0,LOW,col_20260207_191320_5hz,2026-02-07T18:13:50.558700Z,15.0,13.34,2.32607,1.123062064179892
213,1770488030.6254,30.1,3.9123,0.209,0.1401,-1.0781,0.96,-0.63,3.74,15.0,LOW,col_20260207_191320_5hz,2026-02-07T18:13:50.625400Z,15.0,13.34,3.9123,1.1070720934067484
214,1770488030.692,30.1,8.69079,0.1853,0.144,-1.1262,-2.53,-0.27,8.31,15.0,LOW,col_20260207_191320_5hz,2026-02-07T18:13:50.691999Z,15.0,13.34,8.69079,1.1503905988837009
215,1770488030.7587,30.2,12.176,0.2124,0.0955,-1.1248,-3.32,0.9,11.68,15.0,LOW,col_20260207_191320_5hz,2026-02-07T18:13:50.758699Z,15.0,13.34,12.176,1.14865532254023
216,1770488030.8254,30.1,17.5903,0.2385,-0.0022,-1.1155,-5.15,1.29,16.77,15.0,LOW,col_20260207_191320_5hz,2026-02-07T18:13:50.825400Z,15.0,13.34,17.5903,1.1407135223183777
217,1770488030.892,30.1,16.4141,0.2861,-0.0222,-1.0994,-1.95,1.69,16.21,15.0,LOW,col_20260207_191320_5hz,2026-02-07T18:13:50.891999Z,15.0,13.34,16.4141,1.13623343112232
218,1770488030.9587,30.0,13.6114,0.2764,0.0251,-1.1128,-5.7,0.1,12.36,15.0,LOW,col_20260207_191320_5hz,2026-02-07T18:13:50.958699Z,15.0,13.34,13.6114,1.1468874443466544
219,1770488031.0254,30.1,6.1187,0.3223,0.022,-1.0659,-1.03,2.24,5.6,15.0,LOW,col_20260207_191320_5hz,2026-02-07T18:13:51.025399Z,15.0,13.34,6.1187,1.11377919714816
220,1770488031.092,30.2,3.08709,0.3718,0.1038,-1.0933,-2.31,-0.18,2.04,15.0,LOW,col_20260207_191320_5hz,2026-02-07T18:13:51.092000Z,15.0,13.34,3.08709,1.1594458029593275
221,1770488031.1587,30.2,3.10622,0.4067,0.1086,-1.0444,1.66,1.21,-2.33,15.0,LOW,col_20260207_191320_5hz,2026-02-07T18:13:51.158699Z,15.0,13.34,3.10622,1.126041833148307
222,1770488031.2254,30.2,1.08337,0.3655,0.2131,-1.0266,-0.54,-0.89,-0.3,15.0,LOW,col_20260207_191320_5hz,2026-02-07T18:13:51.225399Z,15.0,13.34,1.08337,1.1103645437422793
223,1770488031.292,30.1,3.48675,0.3342,0.2017,-1.0493,0.95,0.18,3.35,15.0,LOW,col_20260207_191320_5hz,2026-02-07T18:13:51.292000Z,15.0,13.34,3.48675,1.1195548311717474
224,1770488031.3587,30.1,8.40329,0.2532,0.2166,-1.0732,2.48,-0.38,8.02,15.0,LOW,col_20260207_191320_5hz,2026-02-07T18:13:51.358700Z,15.0,13.34,8.40329,1.1237366417448529
225,1770488031.4254,30.1,15.0381,0.2073,0.21,-1.0601,6.74,1.4,13.37,15.0,LOW,col_20260207_191320_5hz,2026-02-07T18:13:51.425400Z,15.0,13.34,15.0381,1.10040233551188
226,1770488031.4741,30.2,21.7584,0.2773,-0.0112,-1.1116,-3.93,2.36,21.27,15.0,LOW,col_20260207_191320_5hz,2026-02-07T18:13:51.474100Z,15.0,13.34,21.7584,1.1457204240127692
